Position,Const,Created,Modified,Description,Name,Known For,Birth Date
598,nm0001365,2014-03-10,2014-03-10,,Whitney Houston,The Bodyguard,1963-08-09
599,nm0005031,2014-03-10,2014-03-10,,Felicity Huffman,Transamerica,1962-12-09
600,nm0001767,2014-03-10,2014-03-10,,Imelda Staunton,Harry Potter and the Order of the Phoenix,1956-01-09
601,nm1209966,2014-03-10,2014-03-10,,Oscar Isaac,Ex Machina,1979-03-09
602,nm1417647,2014-03-10,2014-03-10,,Jon Heder,Napoleon Dynamite,1977-10-26
603,nm1886602,2014-03-10,2014-03-10,,Miles Teller,The Spectacular Now,1987-02-20
604,nm0117709,2014-03-10,2014-03-10,,Daniel Br�hl,Good Bye Lenin!,1978-06-16
605,nm0001254,2014-03-10,2014-03-10,,James Gandolfini,The Sopranos,1961-09-18
606,nm0430107,2014-03-10,2014-03-10,,Michael B. Jordan,Black Panther,1987-02-09
607,nm0000578,2014-03-10,2014-03-10,,Anthony Perkins,Psycho,1932-04-04
608,nm0000667,2014-03-10,2014-03-10,,David Thewlis,Naked,1963-03-20
609,nm0001428,2014-03-10,2014-03-10,,Klaus Kinski,Nosferatu: Phantom der Nacht,1926-10-18
610,nm0000532,2014-03-10,2014-03-10,,Malcolm McDowell,A Clockwork Orange,1943-06-13
611,nm0935653,2014-03-10,2014-03-10,,Ray Winstone,The Departed,1957-02-19
612,nm0000901,2014-03-10,2014-03-10,,Jean-Paul Belmondo,Pierrot le Fou,1933-04-09
613,nm0785227,2014-03-10,2014-03-10,,Andy Serkis,War for the Planet of the Apes,1964-04-20
614,nm0000111,2014-03-10,2014-03-10,,Matthew Broderick,The Producers,1962-03-21
615,nm0000454,2014-03-10,2014-03-10,,Dennis Hopper,Easy Rider,1936-05-17
616,nm0740264,2014-03-10,2014-03-10,,Michael Rooker,Guardians of the Galaxy,1955-04-06
617,nm0001252,2014-03-10,2014-03-10,,Vincent Gallo,Buffalo '66,1961-04-11
618,nm0000228,2014-03-09,2014-03-09,,Kevin Spacey,The Usual Suspects,1959-07-26
619,nm0001993,2014-03-10,2014-03-10,,Vincent Cassel,Black Swan,1966-11-23
620,nm0799777,2015-03-08,2015-03-08,,J.K. Simmons,Whiplash,1955-01-09
621,nm0000472,2014-03-10,2014-03-10,,Boris Karloff,Bride of Frankenstein,1887-11-23
622,nm0000048,2014-03-10,2014-03-10,,Peter Lorre,Casablanca,1904-06-26
623,nm0000190,2015-08-13,2015-08-13,,Matthew McConaughey,Dallas Buyers Club,1969-11-04
624,nm0175916,2014-03-10,2014-03-10,,Paddy Considine,Dead Man's Shoes,1973-09-05
625,nm0000202,2014-03-10,2014-03-10,,Ryan Phillippe,Crash,1974-09-10
626,nm0913488,2014-03-10,2014-03-10,,Kerry Washington,Django Unchained,1977-01-31
627,nm0005251,2014-03-10,2014-03-10,,Carrie-Anne Moss,The Matrix,1967-08-21
628,nm0001463,2014-03-10,2014-03-10,,Janet Leigh,Psycho,1927-07-06
629,nm1503432,2014-03-10,2014-03-10,,Catalina Sandino Moreno,Maria Full of Grace,1981-04-19
630,nm0608090,2014-03-10,2014-03-10,,Samantha Morton,Minority Report,1977-05-13
631,nm1095720,2014-03-10,2014-03-10,,Keisha Castle-Hughes,Whale Rider,1990-03-24
632,nm0001766,2014-03-09,2014-03-09,,Barbara Stanwyck,Double Indemnity,1907-07-16
633,nm0000260,2014-03-10,2014-03-10,,Joan Allen,Room,1956-08-20
634,nm0005216,2014-03-10,2014-03-10,,Janet McTeer,Albert Nobbs,1961-08-05
635,nm0005244,2014-03-10,2014-03-10,,Fernanda Montenegro,Central do Brasil,1929-10-16
636,nm0000218,2014-03-10,2014-03-10,,Kristin Scott Thomas,The English Patient,1960-05-24
637,nm0000950,2014-03-10,2014-03-10,,Brenda Blethyn,Pride & Prejudice,1946-02-20
638,nm0000223,2014-03-10,2014-03-10,,Elisabeth Shue,Leaving Las Vegas,1963-10-06
639,nm0001669,2014-03-10,2014-03-10,,Miranda Richardson,The Crying Game,1958-03-03
640,nm0000330,2014-03-10,2014-03-10,,Stockard Channing,Grease,1944-02-13
641,nm0707023,2014-03-09,2014-03-09,,Luise Rainer,The Great Ziegfeld,1910-01-12
642,nm0001521,2014-03-10,2014-03-10,,Mary McDonnell,Battlestar Galactica,1952-04-28
643,nm0000840,2017-09-16,2017-09-16,,Lucille Ball,I Love Lucy,1911-08-06
644,nm0000368,2014-03-10,2014-03-10,,Laura Dern,Jurassic Park,1967-02-10
645,nm0172604,2014-03-10,2014-03-10,,Pauline Collins,Shirley Valentine,1940-09-03
646,nm0000254,2014-03-10,2014-03-10,,Isabelle Adjani,Possession,1955-06-27
647,nm0000429,2014-03-10,2014-03-10,,Melanie Griffith,Working Girl,1957-08-09
648,nm0000476,2014-03-10,2014-03-10,,Sally Kirkland,Anna,1941-10-31
649,nm0000737,2014-03-10,2014-03-10,,Jane Alexander,Kramer vs. Kramer,1939-10-28
650,nm0556850,2014-03-10,2014-03-10,,Marsha Mason,The Goodbye Girl,1942-04-03
651,nm0383603,2014-03-10,2014-03-10,,Freddie Highmore,Finding Neverland,1992-02-14
652,nm0000150,2014-03-10,2014-03-10,,Michael J. Fox,Back to the Future,1961-06-09
653,nm0000237,2014-03-09,2014-03-09,,John Travolta,Pulp Fiction,1954-02-18
654,nm0000334,2016-06-18,2016-06-18,,Yun-Fat Chow,Wo hu cang long,1955-05-18
655,nm0532235,2014-03-10,2014-03-10,,Seth MacFarlane,Family Guy,1973-10-26
656,nm0001472,2014-03-10,2014-03-10,,Jet Li,The One,1963-04-26
657,nm0002144,2014-03-10,2014-03-10,,John Houseman,Three Days of the Condor,1902-09-22
658,nm0001569,2014-03-10,2014-03-10,,Chuck Norris,"Walker, Texas Ranger",1940-03-10
659,nm0000241,2014-03-10,2014-03-10,,Jean-Claude Van Damme,Double Impact,1960-10-18
660,nm0005377,2014-03-10,2014-03-10,,Sam Rockwell,Moon,1968-11-05
661,nm0793766,2014-03-10,2014-03-10,,Takashi Shimura,Shichinin no samurai,1905-03-12
662,nm0001290,2014-03-10,2014-03-10,,Richard E. Grant,Gosford Park,1957-05-05
663,nm0000558,2014-03-10,2014-03-10,,Leslie Nielsen,Airplane!,1926-02-11
664,nm0670408,2014-03-10,2014-03-10,,Simon Pegg,Shaun of the Dead,1970-02-14
665,nm0000518,2014-03-10,2014-03-10,,John Malkovich,In the Line of Fire,1953-12-09
666,nm0788335,2014-03-10,2014-03-10,,Michael Shannon,The Shape of Water,1974-08-07
667,nm0000640,2014-03-10,2014-03-10,,Martin Sheen,The Departed,1940-08-03
668,nm0001302,2014-03-10,2014-03-10,,Christopher Guest,This Is Spinal Tap,1948-02-05
669,nm0000614,2014-03-10,2014-03-10,,Alan Rickman,Die Hard,1946-02-21
670,nm0355097,2014-03-10,2014-03-10,,Jackie Earle Haley,Watchmen,1961-07-14
671,nm0949574,2014-03-10,2014-03-10,,Gig Young,"They Shoot Horses, Don't They?",1913-11-04
672,nm0000652,2014-03-10,2014-03-10,,James Spader,The Blacklist,1960-02-07
673,nm0051509,2014-03-10,2014-03-10,,Eric Bana,Munich,1968-08-09
674,nm0244151,2014-03-10,2014-03-10,,Romain Duris,De battre mon coeur s'est arr�t�,1974-05-28
675,nm0001727,2014-03-10,2014-03-10,,Robert Shaw,A Man for All Seasons,1927-08-09
676,nm0915865,2014-03-10,2014-03-10,,Jacki Weaver,Silver Linings Playbook,1947-05-25
677,nm0067367,2014-03-10,2014-03-10,,B�r�nice Bejo,The Artist,1976-07-07
678,nm2794962,2014-03-10,2014-03-10,,Hailee Steinfeld,True Grit,1996-12-11
679,nm0000492,2016-06-18,2016-06-18,,Jennifer Jason Leigh,The Hateful Eight,1962-02-05
680,nm0000599,2014-03-10,2014-03-10,,Kathleen Quinlan,Apollo 13,1954-11-19
681,nm0378245,2014-03-10,2014-03-10,,Taraji P. Henson,The Curious Case of Benjamin Button,1970-09-11
682,nm0752407,2014-03-10,2014-03-10,,Amy Ryan,Gone Baby Gone,1968-05-03
683,nm0002039,2014-03-10,2014-03-10,,Ruby Dee,American Gangster,1922-10-27
684,nm0001049,2014-03-10,2014-03-10,,Jill Clayburgh,Bridesmaids,1944-04-30
685,nm0056770,2014-03-10,2014-03-10,,Adriana Barraza,Babel,1956-03-05
686,nm0452860,2014-03-10,2014-03-10,,Rinko Kikuchi,Babel,1981-01-06
687,nm0001416,2014-03-10,2014-03-10,,Catherine Keener,Capote,1959-03-23
688,nm0001648,2016-06-18,2016-06-18,,Charlotte Rampling,45 Years,1946-02-05
689,nm0645683,2014-03-10,2014-03-10,,Sophie Okonedo,Hotel Rwanda,1968-08-11
690,nm0165101,2014-03-10,2014-03-10,,Patricia Clarkson,The Green Mile,1959-12-29
691,nm0013037,2014-03-10,2014-03-10,,Shohreh Aghdashloo,House of Sand and Fog,1952-05-11
692,nm0517820,2014-03-10,2014-03-10,,Lindsay Lohan,The Parent Trap,1986-07-02
693,nm0005502,2014-03-10,2014-03-10,,Michelle Trachtenberg,Buffy the Vampire Slayer,1985-10-11
694,nm0001721,2014-03-10,2014-03-10,,Chlo� Sevigny,Boys Don't Cry,1974-11-18
695,nm0001655,2014-03-10,2014-03-10,,Lynn Redgrave,Gods and Monsters,1943-03-08
696,nm0341737,2014-03-10,2014-03-10,,Rachel Griffiths,Muriel's Wedding,1968-12-18
697,nm3053338,2014-03-10,2014-03-10,,Margot Robbie,Suicide Squad,1990-07-02
698,nm0000666,2014-03-10,2014-03-10,,Lili Taylor,American Crime,1967-02-20
699,nm0917848,2014-03-10,2014-03-10,,Robin Weigert,Deadwood,1969-07-07
700,nm1128572,2014-03-10,2014-03-10,,Lake Bell,In a World...,1979-03-24
701,nm0001647,2014-03-10,2014-03-10,,Claude Rains,Casablanca,1889-11-10
702,nm0000114,2014-03-10,2014-03-10,,Steve Buscemi,Fargo,1957-12-13
703,nm0722636,2016-06-18,2016-06-18,,John Rhys-Davies,The Lord of the Rings: The Return of the King,1944-05-05
704,nm0004462,2014-03-10,2014-03-10,,Jean-Louis Trintignant,Amour,1930-12-11
705,nm0001072,2014-03-10,2014-03-10,,Joseph Cotten,The Third Man,1905-05-15
706,nm0001608,2014-03-10,2014-03-10,,Barry Pepper,Saving Private Ryan,1970-04-04
707,nm0002233,2014-03-10,2014-03-10,,Erich von Stroheim,Sunset Blvd.,1885-09-22
708,nm0933940,2016-06-18,2016-06-18,,Patrick Wilson,The Phantom of the Opera,1973-07-03
709,nm0000502,2014-03-10,2014-03-10,,Christopher Lloyd,Back to the Future,1938-10-22
710,nm0004936,2014-03-10,2014-03-10,,Ben Foster,Hell or High Water,1980-10-29
711,nm0566948,2014-03-10,2014-03-10,,Joel McCrea,Sullivan's Travels,1905-11-05
712,nm0158856,2014-03-10,2014-03-10,,Min-sik Choi,Oldeuboi,1962-01-22
713,nm0000191,2014-03-10,2014-03-10,,Ewan McGregor,Moulin Rouge!,1971-03-31
714,nm0305558,2014-03-10,2014-03-10,,Gael Garc�a Bernal,Mozart in the Jungle,1978-11-30
715,nm0004486,2014-03-10,2014-03-10,,Bruno Ganz,Der Untergang,1941-03-22
716,nm0000276,2014-03-10,2014-03-10,,Sean Astin,The Lord of the Rings: The Two Towers,1971-02-25
717,nm0451234,2016-06-18,2016-06-18,,Irrfan Khan,Dabba,1967-01-07
718,nm0355910,2016-06-18,2016-06-18,,Michael C. Hall,Dexter,1971-02-01
719,nm0001702,2014-03-10,2014-03-10,,Roy Scheider,Jaws,1932-11-10
720,nm0000729,2014-03-10,2014-03-10,,Casey Affleck,Gone Baby Gone,1975-08-12
721,nm0000997,2014-03-10,2014-03-10,,Gary Busey,The Buddy Holly Story,1944-06-29
722,nm0005342,2016-06-18,2016-06-18,,Norman Reedus,The Walking Dead,1969-01-06
723,nm0001099,2014-03-10,2014-03-10,,Jeff Daniels,The Squid and the Whale,1955-02-19
724,nm0001804,2014-03-10,2014-03-10,,Stanley Tucci,Big Night,1960-11-11
725,nm0000662,2014-03-10,2014-03-10,,Kiefer Sutherland,24,1966-12-21
726,nm0000706,2015-03-08,2015-03-08,,Michelle Yeoh,Wo hu cang long,1962-08-06
727,nm2244205,2014-03-10,2014-03-10,,L�a Seydoux,La vie d'Ad�le,1985-07-01
728,nm0424848,2015-03-08,2015-03-08,,Dakota Johnson,Fifty Shades of Grey,1989-10-04
729,nm0000365,2014-03-10,2014-03-10,,Julie Delpy,Trois couleurs: Blanc,1969-12-21
730,nm0000157,2014-03-10,2014-03-10,,Linda Hamilton,Terminator 2: Judgment Day,1956-09-26
731,nm0000402,2014-03-10,2014-03-10,,Carrie Fisher,Star Wars,1956-10-21
732,nm0000427,2014-03-10,2014-03-10,,Pam Grier,Jackie Brown,1949-05-26
733,nm0001951,2014-03-10,2014-03-10,,Bj�rk,Dancer in the Dark,1965-11-21
734,nm0115161,2014-03-10,2014-03-10,,Emily Browning,A Series of Unfortunate Events,1988-12-07
735,nm0000496,2014-03-10,2014-03-10,,Juliette Lewis,Natural Born Killers,1973-06-21
736,nm0000572,2014-03-10,2014-03-10,,Sarah Jessica Parker,Sex and the City,1965-03-25
737,nm0001453,2014-03-10,2014-03-10,,Piper Laurie,The Hustler,1932-01-22
738,nm1415323,2014-03-10,2014-03-10,,Miley Cyrus,Hannah Montana,1992-11-23
739,nm0005499,2014-03-10,2014-03-10,,Lily Tomlin,Nashville,1939-09-01
740,nm0005412,2019-11-09,2019-11-09,,Jane Seymour,"Dr. Quinn, Medicine Woman",1951-02-15
741,nm0001784,2014-03-10,2014-03-10,,Gloria Stuart,Titanic,1910-07-04
742,nm0001735,2014-03-10,2014-03-10,,Talia Shire,Rocky,1946-04-25
743,nm2933757,2017-09-16,2017-09-16,,Gal Gadot,Wonder Woman,1985-04-30
744,nm0528987,2014-03-10,2014-03-10,,Sue Lyon,Lolita,1946-07-10
745,nm0000556,2014-03-10,2014-03-10,,Olivia Newton-John,Grease,1948-09-26
746,nm0000378,2014-03-10,2014-03-10,,Minnie Driver,Grosse Pointe Blank,1970-01-31
747,nm0000414,2014-03-10,2014-03-10,,Teri Garr,Close Encounters of the Third Kind,1947-12-11
748,nm0005392,2014-03-10,2014-03-10,,Keri Russell,Waitress,1976-03-23
749,nm0781029,2014-03-10,2014-03-10,,Jean Seberg,� bout de souffle,1938-11-13
750,nm0001631,2014-03-10,2014-03-10,,Sarah Polley,Dawn of the Dead,1979-01-08
751,nm0000982,2014-03-10,2014-03-10,,Josh Brolin,Avengers: Endgame,1968-02-12
752,nm0001358,2014-03-10,2014-03-10,,Hal Holbrook,Into the Wild,1925-02-17
753,nm0005023,2014-03-10,2014-03-10,,Djimon Hounsou,Blood Diamond,1964-04-24
754,nm0000369,2014-03-10,2014-03-10,,Matt Dillon,There's Something About Mary,1964-02-18
755,nm0000257,2014-03-10,2014-03-10,,Alan Alda,M*A*S*H,1936-01-28
756,nm0002006,2014-03-10,2014-03-10,,Thomas Haden Church,Sideways,1960-06-17
757,nm0654110,2014-03-10,2014-03-10,,Clive Owen,Closer,1964-10-03
758,nm0913822,2014-03-10,2014-03-10,,Ken Watanabe,The Last Samurai,1959-10-21
759,nm4139037,2014-03-10,2014-03-10,,Suraj Sharma,Life of Pi,1993-03-21
760,nm0000604,2014-03-10,2014-03-10,,John C. Reilly,Chicago,1965-05-24
761,nm0003817,2014-03-10,2014-03-10,,Michael Clarke Duncan,The Green Mile,1957-12-10
762,nm0005286,2014-03-10,2014-03-10,,Haley Joel Osment,The Sixth Sense,1988-04-10
763,nm0001427,2014-03-10,2014-03-10,,Greg Kinnear,As Good as It Gets,1963-06-17
764,nm0000608,2014-03-10,2014-03-10,,Burt Reynolds,Boogie Nights,1936-02-11
765,nm0001233,2014-03-10,2014-03-10,,Robert Forster,Jackie Brown,1941-07-13
766,nm0005403,2014-03-10,2014-03-10,,Jason Schwartzman,Rushmore,1980-06-26
767,nm0000513,2014-03-10,2014-03-10,,William H. Macy,Fargo,1950-03-13
768,nm0000090,2014-03-10,2014-03-10,,Armin Mueller-Stahl,Eastern Promises,1930-12-17
769,nm0000619,2014-03-10,2014-03-10,,Tim Roth,Rob Roy,1961-05-14
770,nm0000342,2014-03-10,2014-03-10,,James Cromwell,The Green Mile,1940-01-27
771,nm0001590,2014-03-10,2014-03-10,,Chazz Palminteri,The Usual Suspects,1952-05-15
772,nm0000641,2014-03-10,2014-03-10,,Gary Sinise,Forrest Gump,1955-03-17
773,nm0006890,2014-03-10,2014-03-10,,Paul Scofield,A Man for All Seasons,1922-01-21
774,nm0000592,2014-03-10,2014-03-10,,Pete Postlethwaite,The Usual Suspects,1946-02-07
775,nm0915989,2014-03-09,2014-03-09,,Hugo Weaving,The Lord of the Rings: The Return of the King,1960-04-04
776,nm0000586,2014-03-10,2014-03-10,,Jada Pinkett Smith,The Matrix Revolutions,1971-09-18
777,nm0001575,2014-03-10,2014-03-10,,Tatum O'Neal,Paper Moon,1963-11-05
778,nm0267506,2014-03-10,2014-03-10,,Anna Faris,The House Bunny,1976-11-29
779,nm0567408,2014-03-09,2014-03-09,,Hattie McDaniel,Gone with the Wind,1893-06-10
780,nm0000463,2014-03-10,2014-03-10,,Famke Janssen,X-Men: The Last Stand,1964-11-05
781,nm0683253,2015-03-08,2015-03-08,,Rosamund Pike,Gone Girl,1979-01-27
782,nm0001372,2014-03-10,2014-03-10,,Bonnie Hunt,Jumanji,1961-09-22
783,nm0005182,2014-03-10,2014-03-10,,Leslie Mann,Knocked Up,1972-03-26
784,nm1411676,2014-03-10,2014-03-10,,Mindy Kaling,The Office,1979-06-24
785,nm0628601,2014-03-10,2014-03-10,,Thandie Newton,Crash,1972-11-06
786,nm0688132,2019-03-19,2019-03-19,,Amy Poehler,Inside Out,1971-09-16
787,nm0001605,2014-03-10,2014-03-10,,Amanda Peet,2012,1972-01-11
788,nm0005466,2014-03-10,2014-03-10,,Julia Stiles,10 Things I Hate About You,1981-03-28
789,nm0004742,2014-03-10,2014-03-10,,Maria Bello,A History of Violence,1967-04-18
790,nm0578949,2014-03-10,2014-03-10,,Eva Mendes,Hitch,1974-03-05
791,nm1289434,2014-03-10,2014-03-10,,Emily Blunt,Edge of Tomorrow,1983-02-23
792,nm0126284,2014-03-10,2014-03-10,,Rose Byrne,Spy,1979-07-24
793,nm0000171,2014-03-10,2014-03-10,,Ashley Judd,Double Jeopardy,1968-04-19
794,nm3592338,2014-03-10,2014-03-10,,Emilia Clarke,Game of Thrones,1986-10-23
795,nm0000775,2014-03-10,2014-03-10,,Christina Applegate,The Sweetest Thing,1971-11-25
796,nm0000505,2014-03-10,2014-03-10,,Nia Long,Big Momma's House,1970-10-30
797,nm0428065,2015-03-08,2015-03-08,,Felicity Jones,Rogue One,1983-10-17
798,nm0000495,2014-03-10,2014-03-10,,T�a Leoni,The Family Man,1966-02-25
799,nm1275259,2014-03-10,2014-03-10,,Alexandra Daddario,Baywatch,1986-03-16
800,nm0540441,2014-03-10,2014-03-10,,Jena Malone,Contact,1984-11-21
801,nm0000152,2014-03-10,2014-03-10,,Richard Gere,Chicago,1949-08-31
802,nm0296545,2014-03-10,2014-03-10,,Nick Frost,Paul,1972-03-28
803,nm0000501,2014-03-10,2014-03-10,,Ray Liotta,Goodfellas,1954-12-18
804,nm0001674,2014-03-10,2014-03-10,,Chris Rock,Top Five,1965-02-07
805,nm0358316,2014-03-10,2014-03-10,,Jon Hamm,Mad Men,1971-03-10
806,nm0000439,2014-03-10,2014-03-10,,Neil Patrick Harris,How I Met Your Mother,1973-06-15
807,nm0000221,2014-03-10,2014-03-10,,Charlie Sheen,Two and a Half Men,1965-09-03
808,nm0753314,2016-06-18,2016-06-18,,Mark Rylance,Bridge of Spies,1960-01-18
809,nm0000412,2014-03-10,2014-03-10,,Andy Garcia,Ocean's Eleven,1956-04-12
810,nm0503627,2014-03-10,2014-03-10,,Michael Lerner,Barton Fink,1941-06-22
811,nm0001295,2014-03-10,2014-03-10,,Graham Greene,The Green Mile,1952-06-22
812,nm0001117,2014-03-10,2014-03-10,,Bruce Davison,X-Men,1946-06-28
813,nm0000101,2014-03-10,2014-03-10,,Dan Aykroyd,Blues Brothers 2000,1952-07-01
814,nm0000732,2014-03-10,2014-03-10,,Danny Aiello,Do the Right Thing,1933-06-20
815,nm0000203,2014-03-10,2014-03-10,,River Phoenix,My Own Private Idaho,1970-08-23
816,nm0001777,2014-03-10,2014-03-10,,Dean Stockwell,Quantum Leap,1936-03-05
817,nm0000345,2014-03-10,2014-03-10,,Billy Crystal,Forget Paris,1948-03-14
818,nm0000422,2014-03-10,2014-03-10,,John Goodman,10 Cloverfield Lane,1952-06-20
819,nm0089217,2014-03-10,2014-03-10,,Orlando Bloom,The Lord of the Rings: The Fellowship of the Ring,1977-01-13
820,nm0001745,2014-03-10,2014-03-10,,Stellan Skarsg�rd,Good Will Hunting,1951-06-13
821,nm0002907,2016-06-18,2016-06-18,,Alexander Skarsg�rd,True Blood,1976-08-25
822,nm0000196,2014-03-10,2014-03-10,,Mike Myers,Austin Powers: The Spy Who Shagged Me,1963-05-25
823,nm0879085,2014-03-10,2014-03-10,,Tyrese Gibson,Baby Boy,1978-12-30
824,nm0000704,2014-03-10,2014-03-10,,Elijah Wood,The Lord of the Rings: The Fellowship of the Ring,1981-01-28
825,nm0000362,2014-03-10,2014-03-10,,Danny DeVito,Matilda,1944-11-17
826,nm0001333,2014-03-09,2014-03-09,,Susan Hayward,With a Song in My Heart,1917-06-30
827,nm0735442,2014-03-10,2014-03-10,,Michelle Rodriguez,Avatar,1978-07-12
828,nm0001264,2014-03-10,2014-03-10,,Sarah Michelle Gellar,Buffy the Vampire Slayer,1977-04-14
829,nm0644897,2019-03-19,2019-03-19,,Sandra Oh,Sideways,1971-07-20
830,nm0452288,2019-09-04,2019-09-04,,Margot Kidder,Superman,1948-10-17
831,nm0461498,2014-03-10,2014-03-10,,Beyonc�,Dreamgirls,1981-09-04
832,nm0356017,2014-03-10,2014-03-10,,Rebecca Hall,Vicky Cristina Barcelona,1982-05-03
833,nm0005305,2014-03-10,2014-03-10,,Piper Perabo,Coyote Ugly,1976-10-31
834,nm0001073,2014-03-10,2014-03-10,,Courteney Cox,Friends,1964-06-15
835,nm0000205,2014-03-10,2014-03-10,,Parker Posey,Scream 3,1968-11-08
836,nm1745736,2014-03-10,2014-03-10,,Paula Patton,Precious,1975-12-05
837,nm1157358,2014-03-10,2014-03-10,,Michelle Monaghan,Kiss Kiss Bang Bang,1976-03-23
838,nm0000132,2014-03-10,2014-03-10,,Claire Danes,My So-Called Life,1979-04-12
839,nm0005049,2019-03-19,2019-03-19,,Allison Janney,The Help,1959-11-19
840,nm0098378,2014-03-10,2014-03-10,,Kate Bosworth,Superman Returns,1983-01-02
841,nm0939697,2014-03-10,2014-03-10,,Evan Rachel Wood,Thirteen,1987-09-07
842,nm0000227,2015-03-08,2015-03-08,,Mira Sorvino,Mighty Aphrodite,1967-09-28
843,nm0955471,2014-03-10,2014-03-10,,Ziyi Zhang,Yi dai zong shi,1979-02-09
844,nm0004789,2014-03-10,2014-03-10,,Amanda Bynes,Hairspray,1986-04-03
845,nm0001435,2014-03-10,2014-03-10,,Lisa Kudrow,Friends,1963-07-30
846,nm1779870,2019-07-29,2019-07-29,,Brit Marling,Another Earth,1982-08-07
847,nm0001122,2014-03-10,2014-03-10,,Ellen DeGeneres,Ellen: The Ellen DeGeneres Show,1958-01-26
848,nm0005527,2015-03-08,2015-03-08,,Sof�a Vergara,Hot Pursuit,1972-07-10
849,nm0601553,2014-03-10,2014-03-10,,Mandy Moore,A Walk to Remember,1984-04-10
850,nm0000515,2014-03-10,2014-03-10,,Virginia Madsen,Sideways,1961-09-11
851,nm0005188,2014-03-10,2014-03-10,,James Marsden,Hairspray,1973-09-18
852,nm0000741,2014-03-10,2014-03-10,,Tim Allen,Toy Story,1953-06-13
853,nm0000610,2014-03-10,2014-03-10,,Giovanni Ribisi,Boiler Room,1974-12-17
854,nm0000442,2016-06-18,2016-06-18,,Rutger Hauer,Blade Runner,1944-01-23
855,nm0000681,2014-03-10,2014-03-10,,Vince Vaughn,The Break-Up,1970-03-28
856,nm0004051,2014-03-10,2014-03-10,,Brian Cox,X2,1946-06-01
857,nm0000598,2014-03-10,2014-03-10,,Dennis Quaid,Far from Heaven,1954-04-09
858,nm0000491,2014-03-10,2014-03-10,,John Leguizamo,Moulin Rouge!,1964-07-22
859,nm0000474,2014-03-10,2014-03-10,,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance),1951-09-05
860,nm0121605,2014-03-10,2014-03-10,,Billy Burke,Twilight,1966-11-25
861,nm0322407,2014-03-10,2014-03-10,,Brendan Gleeson,The Guard,1955-03-29
862,nm0000314,2019-03-18,2019-03-18,,Charles Bronson,C'era una volta il West,1921-11-03
863,nm0000596,2014-03-10,2014-03-10,,Jonathan Pryce,The Two Popes,1947-06-01
864,nm0001497,2014-03-10,2014-03-10,,Tobey Maguire,Brothers,1975-06-27
865,nm0790688,2014-03-10,2014-03-10,,Michael Sheen,Masters of Sex,1969-02-05
866,nm0519043,2014-03-10,2014-03-10,,Justin Long,Live Free or Die Hard,1978-06-02
867,nm0085312,2014-03-10,2014-03-10,,Jack Black,The School of Rock,1969-08-28
868,nm0000316,2019-03-18,2019-03-18,,Mel Brooks,Spaceballs,1926-06-28
869,nm0000112,2014-03-10,2014-03-10,,Pierce Brosnan,The World Is Not Enough,1953-05-16
870,nm0000293,2014-03-10,2014-03-10,,Sean Bean,The Lord of the Rings: The Fellowship of the Ring,1959-04-17
871,nm0991810,2017-09-16,2017-09-16,,Mahershala Ali,House of Cards,1974-02-16
872,nm0241049,2014-03-10,2014-03-10,,Josh Duhamel,Transformers,1972-11-14
873,nm1569276,2019-03-18,2019-03-18,,Chadwick Boseman,Black Panther,1977-11-29
874,nm0269463,2014-03-10,2014-03-10,,Jon Favreau,Chef,1966-10-19
875,nm0000418,2014-03-10,2014-03-10,,Danny Glover,Lethal Weapon,1946-07-22
876,nm2951768,2014-03-10,2014-03-10,,Freida Pinto,Slumdog Millionaire,1984-10-18
877,nm0240381,2014-03-10,2014-03-10,,Hilary Duff,A Cinderella Story,1987-09-28
878,nm0935541,2014-03-10,2014-03-10,,Mary Elizabeth Winstead,10 Cloverfield Lane,1984-11-28
879,nm0177639,2014-03-10,2014-03-10,,Jennifer Coolidge,A Cinderella Story,1961-08-28
880,nm2057859,2015-03-08,2015-03-08,,Andrea Riseborough,Birdman or (The Unexpected Virtue of Ignorance),1981-11-20
881,nm0000208,2015-03-08,2015-03-08,,Molly Ringwald,Sixteen Candles,1968-02-18
882,nm0005064,2014-03-10,2014-03-10,,January Jones,X: First Class,1978-01-05
883,nm0748973,2015-03-08,2015-03-08,,Maya Rudolph,Bridesmaids,1972-07-27
884,nm0000521,2015-03-08,2015-03-08,,Sophie Marceau,La boum,1966-11-17
885,nm0004376,2014-03-10,2014-03-10,,Franka Potente,Lola rennt,1974-07-22
886,nm2946516,2019-03-19,2019-03-19,,Claire Foy,First Man,1984-04-16
887,nm0429069,2014-03-10,2014-03-10,,Rashida Jones,Parks and Recreation,1976-02-25
888,nm0000224,2014-03-10,2014-03-10,,Alicia Silverstone,Clueless,1976-10-04
889,nm0001273,2015-07-05,2015-07-05,,Lillian Gish,The Night of the Hunter,1893-10-14
890,nm1431940,2014-03-10,2014-03-10,,Evangeline Lilly,Ant-Man,1979-08-03
891,nm1469236,2019-03-19,2019-03-19,,Olivia Colman,The Favourite,1974-01-30
892,nm0257969,2015-03-08,2015-03-08,,Mireille Enos,World War Z,1975-09-22
893,nm0001349,2014-03-10,2014-03-10,,Jennifer Love Hewitt,I Know What You Did Last Summer,1979-02-21
894,nm0002536,2014-03-10,2014-03-10,,Emmy Rossum,The Phantom of the Opera,1986-09-12
